-7.875442968607046, 12821, 11342, 28790.504967451096, 1.746, 
-7.831329261588148, 21520, 19137, 47965.83102726936, 2.324, 
-7.795136654766541, 22107, 19693, 49261.17120599747, 2.903, 
-7.814848460694356, 23278, 20702, 51621.401952028275, 2.614, 
-7.802763512083401, 23600, 21042, 52069.136894226074, 2.807, 
-7.880863041205691, 24294, 21661, 54112.16493821144, 1.649, 
-6.599022916242385, 25489, 22643, 56574.40093612671, 0.394, 
-7.841150666812427, 26987, 24038, 60037.922478199005, 2.228, 
-5.859198012812833, 27948, 24831, 61926.38700342178, 0.298, 
-7.8091239236231464, 28512, 25408, 63049.902420282364, 2.71, 
-7.798402391734923, 28807, 25534, 63589.20831441879, 3.0, 
-7.81590491082732, 31228, 27655, 68713.5065293312, 2.517, 
-4.068346029195945, 32698, 29141, 71958.61962342262, 0.201, 
-7.828424086362598, 32842, 29296, 72194.93171644211, 2.421, 
