-7.610257563310854, 8320, 7324, 18574.06108021736, 0.779, 
-7.704532355675945, 10209, 9106, 22833.515867233276, 0.876, 
-7.769475881392609, 10491, 9351, 23468.74423599243, 0.972, 
-7.814393822739368, 11812, 10605, 26472.98541378975, 1.069, 
-7.4775660442015335, 13020, 11545, 29160.06145477295, 0.683, 
-7.287244659314211, 16450, 14684, 36926.14536166191, 0.586, 
-7.016849640443491, 17628, 15686, 39374.88132977486, 0.49, 
-7.844377034906669, 10354, 9186, 23131.433135271072, 1.166, 
-6.595150957386303, 20001, 18044, 44425.45533680916, 0.393, 
-5.846037119637664, 20000, 18074, 44620.04567718506, 0.297, 
-4.029138455527136, 20000, 18006, 44915.75845360756, 0.2, 
-7.874136074443382, 11194, 9899, 25108.59777736664, 1.359, 
-7.879825214231471, 12592, 11231, 28113.641820907593, 1.455, 
-7.88267156994541, 16139, 14423, 36275.74580216408, 1.552, 
-7.863561215494236, 19138, 17045, 42880.2665040493, 1.262, 
-7.856503604894352, 15605, 13815, 34911.9049680233, 2.034, 
-7.864351916262074, 15776, 14101, 35500.325228214264, 1.938, 
-7.880759123859642, 20000, 18068, 44669.6005756855, 1.648, 
-7.876365516535031, 20000, 18109, 44773.80599093437, 1.745, 
-7.871269323185922, 19303, 17223, 43122.25317120552, 1.841, 
-7.848383473829194, 18962, 16860, 42654.049985170364, 2.131, 
-7.839340072267003, 20000, 18125, 44942.41413092613, 2.228, 
-7.83128931644481, 20000, 17987, 44581.9688680172, 2.324, 
-7.82522480202939, 20000, 18126, 44626.79584956169, 2.421, 
-7.813368054494733, 20000, 17929, 44721.9069750309, 2.517, 
-7.814540268644576, 20001, 17978, 44208.31421160698, 2.614, 
-7.807571029295032, 20000, 18031, 44468.5183737278, 2.71, 
-7.8023332401313015, 20000, 18051, 43982.9903717041, 2.807, 
-7.794875304111996, 20000, 18055, 44090.731261491776, 2.903, 
-7.7961480830483625, 20000, 17958, 44010.03336405754, 3.0, 
